,s-1l,s-1u,s-2l,s-2u
228196,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
228197,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
228198,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
228202,0.9999899049289478,1.0,0.9999899049289478,1.0
228203,0.9999899049289478,1.0,0.9999899049289478,1.0
228204,0.9999899049289478,1.0,0.9999899049289478,1.0
228205,0.9999899049289478,1.0,0.9999899049289478,1.0
228207,0.054346382643257446,0.0,0.9999899049289478,1.0
228208,0.054346382643257446,0.0,0.9999899049289478,1.0
228209,0.054346382643257446,0.0,0.9999899049289478,1.0
228219,0.9999898527748835,1.0,0.9999898527748835,1.0
228220,0.9999898527748835,1.0,0.9999898527748835,1.0
228221,0.9999898527748835,1.0,0.9999898527748835,1.0
228222,0.9999898527748835,1.0,0.9999898527748835,1.0
228223,0.9999898527748835,1.0,0.9999898527748835,1.0
228225,1.7634592958555833e-06,0.0,0.9999898527748835,1.0
228226,1.7634592958555833e-06,0.0,0.9999898527748835,1.0
228229,1.4388933784509512e-07,0.0,1.4388933784509512e-07,0.0
228230,1.4388933784509512e-07,0.0,1.4388933784509512e-07,0.0
228231,1.4388933784509512e-07,0.0,1.4388933784509512e-07,0.0
228232,1.4388933784509512e-07,0.0,1.4388933784509512e-07,0.0
228234,0.016702935107379656,0.0,1.4388933784509512e-07,0.0
228235,0.016702935107379656,0.0,1.4388933784509512e-07,0.0
228236,0.016702935107379656,0.0,1.4388933784509512e-07,0.0
228237,0.016702935107379656,0.0,1.4388933784509512e-07,0.0
228238,0.016702935107379656,0.0,1.4388933784509512e-07,0.0
228244,0.0017090123154730593,0.0,0.0017090123154730593,0.0
228245,0.0017090123154730593,0.0,0.0017090123154730593,0.0
228246,0.0017090123154730593,0.0,0.0017090123154730593,0.0
228248,0.03253585101689019,0.0,0.0017090123154730593,0.0
228255,0.999989882577206,1.0,0.999989882577206,1.0
228256,0.999989882577206,1.0,0.999989882577206,1.0
228257,0.999989882577206,1.0,0.999989882577206,1.0
228258,0.999989882577206,1.0,0.999989882577206,1.0
